aX,aY,aZ,gX,gY,gZ
0.672,0.261,2.152,-149.78,-26.489,8.972
0.674,0.356,2.177,-159.729,-26.55,23.56
0.709,0.468,2.034,-164.429,-29.48,34.668
0.782,0.59,1.889,-177.551,-58.777,38.635
0.881,0.679,1.993,-194.58,-93.933,33.875
1.001,0.669,2.213,-198.181,-104.675,30.151
1.144,0.549,2.319,-191.772,-100.342,36.377
1.314,0.325,2.311,-184.57,-88.745,50.598
1.42,0.113,2.23,-176.514,-81.177,86.243
1.455,0.097,2.264,-200.073,-92.407,134.827
1.459,0.204,2.417,-218.75,-78.308,169.434
1.427,0.315,2.326,-214.355,-36.743,191.223
1.382,0.42,2.053,-213.623,-26.184,202.637
1.306,0.42,1.944,-218.872,-32.898,210.876
1.221,0.362,1.958,-219.482,-21.301,225.22
1.134,0.367,1.97,-219.177,1.038,241.943
1.041,0.453,1.861,-215.027,38.635,250.549
0.917,0.573,1.547,-205.017,68.726,244.507
0.805,0.615,1.252,-200.195,70.313,235.168
0.736,0.658,1.191,-198.242,58.35,238.464
0.663,0.745,1.256,-200.684,54.932,241.333
0.6,0.795,1.249,-205.994,61.218,240.784
0.536,0.805,1.126,-216.919,66.772,239.99
0.48,0.829,0.929,-230.713,67.2,243.225
0.45,0.878,0.804,-243.469,55.542,245.3
0.412,0.906,0.807,-256.042,56.091,249.451
0.365,1.018,0.749,-264.099,78.247,263.855
0.284,1.254,0.606,-268.494,104.797,271.118
0.118,1.458,0.455,-270.569,145.386,265.686
-0.042,1.569,0.214,-270.325,215.881,250.793
-0.148,1.617,-0.241,-269.836,310.791,223.267
-0.202,1.625,-1.04,-275.024,418.945,195.923
-0.182,1.634,-2.407,-246.948,515.381,179.077
-0.24,1.514,-3.633,-174.072,521.912,153.259
-0.526,1.033,-3.998,-80.383,434.387,96.619
-0.87,0.264,-3.999,29.602,293.823,37.231
-1.079,-0.249,-3.999,87.402,87.463,23.743
-1.128,-0.12,-3.83,108.521,-81.421,31.25
-1.007,0.287,-3.067,128.418,-174.988,12.207
-0.806,0.536,-1.935,149.109,-224.487,-20.691
-0.615,0.611,-0.97,168.03,-231.018,-50.537
-0.458,0.578,-0.288,187.561,-194.702,-79.529
-0.358,0.473,0.073,202.82,-138.489,-100.403
-0.3,0.355,0.207,207.886,-80.872,-109.619
-0.283,0.234,0.117,217.407,-25.757,-114.685
-0.301,0.179,-0.144,229.431,2.075,-110.779
-0.306,0.219,-0.397,241.089,0.977,-108.032
-0.288,0.26,-0.578,252.563,-21.179,-106.018
-0.254,0.329,-0.684,254.028,-62.256,-97.595
-0.186,0.464,-0.656,236.267,-115.601,-94.36
-0.083,0.577,-0.433,211.243,-164.001,-100.403
0.016,0.62,-0.111,195.129,-186.707,-110.413
0.104,0.673,0.138,192.444,-188.599,-120.911
