aX,aY,aZ,gX,gY,gZ
-0.728,-0.26,0.891,49.438,102.966,-32.837
-0.703,-0.133,0.891,59.814,84.9,-34.729
-0.672,-0.113,0.861,64.514,73.608,-43.03
-0.63,-0.175,0.848,58.289,64.453,-43.823
-0.578,-0.209,0.917,46.387,60.364,-39.246
-0.549,-0.228,1.017,40.405,63.782,-36.316
-0.546,-0.27,1.062,38.757,65.369,-31.555
-0.543,-0.279,1.086,34.18,58.35,-24.109
-0.555,-0.252,1.124,34.607,47.302,-20.752
-0.586,-0.248,1.16,37.231,34.302,-21.606
-0.609,-0.279,1.191,44.128,21.606,-19.897
-0.605,-0.305,1.216,46.509,14.832,-15.259
-0.584,-0.305,1.206,47.485,16.113,-8.362
-0.561,-0.31,1.147,47.119,18.616,-2.991
-0.527,-0.342,1.053,41.626,20.386,2.075
-0.471,-0.365,0.968,29.724,17.212,8.972
-0.412,-0.368,0.95,17.822,10.01,14.587
-0.369,-0.368,0.994,12.817,3.845,17.944
-0.333,-0.376,1.047,10.742,-0.122,19.226
-0.298,-0.388,1.072,11.78,-1.465,18.677
-0.28,-0.401,1.051,11.902,-3.357,16.602
-0.272,-0.411,1.01,9.949,-7.874,12.695
-0.262,-0.425,0.979,3.906,-12.878,6.653
-0.259,-0.448,0.958,0.244,-16.602,1.526
-0.254,-0.474,0.941,-1.038,-21.423,-0.671
-0.249,-0.501,0.939,-3.662,-24.353,-0.854
-0.242,-0.517,0.948,-4.761,-24.17,0.122
-0.23,-0.518,0.968,-4.028,-22.827,0.305
-0.238,-0.532,0.988,-3.296,-18.127,-0.427
-0.256,-0.57,0.985,-4.761,-13,1.465
-0.258,-0.585,0.968,-5.188,-9.766,6.042
-0.256,-0.573,0.955,-5.249,-8.179,8.667
-0.251,-0.56,0.951,-6.226,-6.287,11.047
-0.237,-0.542,0.93,-9.399,-2.869,11.292
-0.229,-0.521,0.89,-10.498,-1.282,9.949
-0.231,-0.502,0.84,-8.667,-2.563,8.24
-0.233,-0.497,0.799,-10.01,-8.057,5.981
-0.226,-0.492,0.804,-9.338,-13.916,3.967
-0.23,-0.488,0.838,-7.568,-15.564,0.732
-0.243,-0.516,0.857,-7.202,-13.184,-0.366
-0.251,-0.534,0.848,-8.118,-10.315,2.686
-0.257,-0.527,0.835,-8.728,-8.301,5.188
-0.263,-0.526,0.817,-12.207,-5.981,6.165
-0.265,-0.536,0.804,-13.916,-7.874,7.874
-0.263,-0.545,0.82,-14.465,-10.132,11.353
