aX,aY,aZ,gX,gY,gZ
-0.276,-0.082,0.062,76.416,-33.936,-18.738
-0.349,-0.214,0.085,92.773,-29.663,-18.372
-0.484,-0.319,0.131,103.699,-23.315,-6.348
-0.628,-0.368,0.17,110.168,-13.916,15.564
-0.71,-0.318,0.183,106.689,-1.16,33.997
-0.717,-0.218,0.174,110.107,12.512,35.339
-0.692,-0.192,0.141,114.502,22.827,23.437
-0.666,-0.263,0.091,115.967,29.114,13.611
-0.652,-0.408,0.032,110.718,32.593,13.123
-0.712,-0.597,0.011,109.741,28.564,25.818
-0.826,-0.681,0.027,116.028,21.729,56.396
-0.909,-0.606,0.069,89.172,22.278,88.928
-0.951,-0.502,0.175,67.139,38.818,118.896
-0.985,-0.421,0.248,50.72,70.984,147.217
-1.022,-0.343,0.187,19.592,88.989,170.166
-1.028,-0.263,0.061,-16.846,84.9,186.646
-1.048,-0.143,-0.03,-41.321,64.575,201.111
-1.136,0.005,0.004,-65.186,33.142,210.876
-1.27,0.057,0.235,-79.651,6.836,205.261
-1.427,-0.006,0.558,-54.871,5.676,196.96
-1.576,-0.042,0.75,-4.333,26.245,202.881
-1.638,0.037,0.772,2.808,58.044,222.534
-1.657,0.291,0.597,5.554,95.581,235.718
-1.728,0.548,0.319,11.963,94.299,202.881
-1.868,0.637,0.182,55.237,52.673,168.762
-2.02,0.622,0.241,76.538,-2.441,153.625
-2.115,0.563,0.497,75.928,-40.955,150.208
-2.158,0.577,0.88,80.627,-35.706,134.766
-2.204,0.565,1.125,75.439,16.418,109.985
-2.245,0.461,1.023,53.284,71.289,97.046
-2.212,0.403,0.714,34.302,94.849,91.431
-2.146,0.408,0.4,40.283,93.75,83.13
-2.106,0.406,0.15,37.476,75.256,70.313
-2.082,0.381,0.04,21.057,44.373,59.937
-2.059,0.411,0.091,8.85,16.052,53.955
-2.029,0.504,0.221,1.526,2.869,43.213
-1.986,0.57,0.336,-0.732,2.686,26.001
-1.925,0.556,0.415,2.014,6.042,8.057
-1.844,0.49,0.469,9.216,11.597,-6.592
-1.744,0.417,0.472,15.93,18.311,-18.005
-1.632,0.351,0.416,17.761,24.78,-27.71
-1.513,0.301,0.318,14.404,30.151,-34.424
-1.401,0.265,0.197,12.695,32.837,-40.71
-1.303,0.211,0.076,8.362,28.015,-46.509
-1.212,0.125,0.004,-3.235,20.386,-49.438
-1.131,0.027,-0.022,-6.042,13.245,-49.5
-1.067,-0.06,-0.034,-4.028,5.188,-45.166
-1.02,-0.1,-0.038,-5.127,-2.747,-35.217
-0.99,-0.054,-0.036,-8.728,-9.338,-24.17
-2.55,0.149,0.282,6.897,24.048,1.648
-2.737,0.346,0.198,-1.831,25.208,-9.399
-2.854,0.496,0.157,-11.78,21.851,-29.114
-2.883,0.542,0.129,-13.611,19.531,-51.392
-2.832,0.519,0.042,-21.545,15.93,-68.176
-2.71,0.473,-0.087,-41.687,6.104,-79.285
-2.529,0.454,-0.165,-56.091,-12.39,-85.388
-2.297,0.47,-0.179,-52.979,-35.4,-99.06
-2.062,0.407,-0.118,-54.443,-59.814,-119.69
-1.861,0.23,0.045,-56.152,-78.186,-132.263
-1.669,0.057,0.209,-61.218,-82.153,-134.399
-1.492,-0.073,0.287,-72.388,-74.158,-132.08
-1.337,-0.18,0.272,-83.679,-64.27,-125.671
-1.2,-0.269,0.205,-95.642,-59.204,-115.723
-1.089,-0.338,0.14,-105.286,-55.664,-100.769
-0.996,-0.333,0.075,-106.506,-53.833,-81.299
-0.916,-0.241,0.023,-106.873,-55.359,-66.956
-0.844,-0.134,0.045,-88.44,-59.57,-59.875
-0.826,-0.036,0.105,-53.955,-57.8,-54.138
-0.833,0.049,0.161,-37.231,-57.861,-53.894
-0.81,0.068,0.221,-13.794,-55.908,-58.411
-0.8,0.028,0.232,11.475,-49.438,-56.274
-0.801,0.01,0.148,28.87,-47.119,-41.931
-0.759,0.073,0.067,48.95,-55.481,-28.503
-0.7,0.163,0.059,80.017,-55.481,-27.527
-0.657,0.228,0.053,92.163,-40.771,-34.607
-0.613,0.282,0.027,75.134,-17.334,-44.556
-0.563,0.335,-0.021,37.537,7.141,-59.021
-0.474,0.337,-0.081,-6.47,23.01,-82.825
-0.368,0.27,-0.135,-25.696,24.536,-106.201
-0.268,0.221,-0.167,-48.157,19.775,-122.437
-0.166,0.222,-0.189,-68.848,16.724,-134.827
-0.082,0.214,-0.239,-84.839,5.371,-146.362
