aX,aY,aZ,gX,gY,gZ
0.258,-0.416,-0.087,4.028,-85.754,-21.301
0.226,-0.4,-0.189,-54.565,-76.843,-20.264
0.236,-0.363,-0.293,-116.516,-75.012,-22.095
0.301,-0.319,-0.356,-177.856,-83.862,-27.161
0.386,-0.282,-0.354,-237.305,-95.52,-34.729
0.428,-0.259,-0.314,-267.212,-102.722,-42.175
0.427,-0.244,-0.266,-258.118,-103.76,-45.105
0.405,-0.216,-0.229,-213.867,-96.252,-40.71
0.358,-0.175,-0.217,-162.415,-79.895,-29.175
0.274,-0.132,-0.227,-126.282,-58.533,-16.602
0.153,-0.098,-0.242,-106.201,-35.339,-8.179
0.007,-0.079,-0.198,-71.96,-9.949,-1.77
-0.091,-0.048,-0.097,53.589,20.081,6.592
-0.053,0.02,-0.06,195.984,58.533,5.798
0.126,0.093,-0.14,257.08,95.642,-7.202
0.338,0.104,-0.285,240.295,106.201,-29.907
0.449,0.039,-0.488,173.767,86.304,-49.011
0.471,-0.07,-0.617,29.907,53.894,-47.668
0.432,-0.135,-0.573,-46.936,15.32,-27.344
0.3,-0.116,-0.444,-84.961,-11.902,-6.287
0.142,-0.093,-0.229,-127.014,-10.01,8.728
0.099,-0.076,0.083,-66.589,20.081,21.484
0.042,0.018,0.16,57.129,64.087,18.921
-0.053,0.094,-0.139,-17.517,117.126,0.305
0.026,-0.011,-0.365,-241.638,139.221,-11.841
0.144,-0.144,-0.189,-208.557,108.276,-8.545
0.323,-0.02,-0.072,66.589,65.247,-10.559
0.638,0.164,-0.262,24.17,40.466,-31.738
0.83,0.078,-0.402,-208.374,15.747,-37.537
0.817,-0.082,-0.32,-371.582,-17.7,-18.066
2.739,-0.193,1.305,258.789,-101.685,32.593
2.848,-0.043,1.276,171.082,12.451,92.285
2.602,0.25,1.116,83.069,84.412,120.422
2.369,0.56,0.939,75.867,131.531,118.103
2.406,0.771,0.797,21.729,152.71,84.412
2.767,0.818,0.828,-25.452,159.485,22.522
3.331,0.697,0.886,-25.513,180.115,-63.171
3.71,0.407,0.718,-9.888,222.229,-152.039
3.731,-0.035,0.475,-42.542,270.691,-199.89
3.56,-0.424,0.167,161.743,282.715,-197.51
3.312,-0.662,-0.311,165.894,263.733,-176.331
3.08,-0.901,-0.478,56.335,210.999,-142.09
2.779,-1.104,-0.458,119.324,109.131,-99.854
2.286,-1.226,-0.426,103.882,-7.935,-41.748
1.759,-1.262,-0.204,78.064,-120.483,33.569
1.342,-1.122,0.125,91.187,-221.863,112.183
1.047,-0.76,0.438,107.971,-290.039,186.279
0.861,-0.259,0.74,26.917,-305.725,238.342
0.759,0.331,1.123,-15.564,-270.447,261.475
0.736,1.044,1.307,3.906,-176.086,243.164
0.791,1.548,1.199,-87.341,-35.034,167.908
0.941,1.547,0.897,-92.529,97.778,86.609
1.156,1.294,0.439,2.686,191.467,36.377
1.311,1.062,-0.076,84.9,237.915,0.854
1.309,0.833,-0.488,92.102,227.234,-30.64
1.172,0.584,-0.71,97.656,159.119,-51.392
0.993,0.338,-0.756,76.355,51.453,-65.063
0.955,0.1,-0.585,57.617,-63.293,-69.031
1.104,-0.079,-0.255,25.696,-152.771,-60.181
1.237,-0.189,0.169,-13.489,-192.749,-36.194
1.291,-0.25,0.64,-14.343,-186.096,-4.028
1.349,-0.262,1.073,41.443,-135.437,26.672
1.421,-0.193,1.236,6.592,-31.982,49.622
1.495,-0.096,1.038,6.897,54.565,57.373
1.562,-0.072,0.753,25.696,101.99,56.885
1.619,-0.082,0.544,34.607,123.413,57.922
1.668,-0.048,0.417,33.63,126.343,60.242
1.686,0.035,0.397,29.602,120.85,58.411
1.678,0.124,0.429,24.902,114.563,48.035
1.68,0.172,0.467,20.752,103.821,29.907
1.713,0.148,0.501,8.606,87.341,9.827
1.745,0.068,0.542,-19.47,66.345,-4.333
1.75,0.01,0.556,-44.434,42.603,-7.263
1.747,0.046,0.517,-62.683,13.367,-1.343
1.756,0.178,0.469,-69.702,-21.057,1.709
1.78,0.332,0.444,-74.28,-51.941,-5.127
1.813,0.415,0.441,-77.82,-73.975,-16.357
1.832,0.405,0.465,-76.843,-85.571,-23.56
1.82,0.334,0.514,-63.965,-84.534,-24.17
1.786,0.243,0.572,-45.105,-70.007,-15.442
1.735,0.176,0.618,-12.817,-46.082,0.854
1.67,0.187,0.589,39.612,-22.4,16.968
1.585,0.24,0.497,56.946,1.221,26.978
1.482,0.277,0.399,76.416,11.169,30.457
1.406,0.316,0.327,79.956,3.296,26.062
1.367,0.361,0.281,74.463,-22.217,15.442
1.345,0.383,0.272,48.889,-55.42,1.953
1.323,0.359,0.316,25.94,-84.045,-10.62
1.271,0.306,0.36,14.282,-100.037,-20.935
1.21,0.253,0.343,9.216,-100.342,-25.574
1.162,0.206,0.275,-7.263,-93.079,-25.146
1.13,0.155,0.214,-24.048,-86.548,-21.545
1.112,0.094,0.166,-28.809,-89.478,-14.832
1.104,0.037,0.121,-40.405,-102.356,-5.371
1.106,0.012,0.11,-79.285,-118.591,6.592
1.1,0.009,0.166,-133.911,-128.601,17.395
1.067,0.002,0.258,-174.316,-128.174,24.719
1.01,-0.006,0.326,-190.918,-119.141,27.893
0.946,-0.007,0.349,-189.819,-107.544,28.748
0.884,-0.009,0.337,-180.847,-100.952,25.269
0.811,-0.015,0.341,-171.021,-99.121,17.029
0.748,-0.043,0.388,-147.766,-95.703,3.845
0.722,-0.113,0.444,-97.168,-89.783,-9.827
0.715,-0.198,0.442,-21.301,-85.693,-18.127
0.697,-0.251,0.368,58.35,-86.365,-20.63
0.672,-0.267,0.271,128.296,-89.355,-18.738
0.637,-0.275,0.194,171.875,-90.454,-12.756
0.589,-0.289,0.136,196.289,-87.891,-4.333
0.545,-0.307,0.049,204.224,-82.764,4.211
0.505,-0.314,-0.079,188.293,-78.918,11.475
0.477,-0.316,-0.202,145.02,-78.369,16.846
0.47,-0.34,-0.269,79.346,-78.979,22.034
0.469,-0.371,-0.248,5.798,-79.712,32.837
0.479,-0.336,-0.187,-50.842,-75.5,48.218
0.546,-0.232,-0.163,-103.516,-70.923,54.993
0.64,-0.128,-0.182,-150.94,-71.106,51.392
0.697,-0.083,-0.228,-186.035,-73.547,42.603
0.672,-0.101,-0.298,-214.355,-76.538,36.316
0.587,-0.146,-0.357,-236.877,-75.317,39.063
0.516,-0.187,-0.38,-238.831,-75.623,46.57
0.46,-0.205,-0.37,-229.98,-78.064,53.894
0.402,-0.194,-0.326,-216.248,-77.209,58.716
0.336,-0.178,-0.234,-216.064,-67.383,62.134
0.286,-0.163,-0.092,-207.642,-44.983,64.453
