aX,aY,aZ,gX,gY,gZ
-0.188,0.133,0.883,-4.822,-21.912,8.667
-0.146,0.145,0.957,-16.174,-24.292,10.864
-0.105,0.169,1.038,-19.714,-20.508,8.24
-0.075,0.14,1.082,-18.005,-12.695,1.77
-0.06,0.061,1.098,-13.428,-5.981,-2.563
-0.059,-0.016,1.07,0.122,0.977,2.991
-0.053,0.002,1.011,4.944,-2.319,13.489
-0.044,0.083,1.021,2.014,-8.24,13.184
-0.058,0.092,1.082,-2.38,-3.723,5.005
-0.094,0.025,1.085,-2.502,5.737,1.648
-0.133,-0.032,1.006,-1.709,12.329,4.761
-0.174,-0.027,0.889,-6.775,12.451,10.132
-0.213,0.046,0.813,-14.038,3.113,14.465
-0.241,0.099,0.812,-3.54,-11.169,10.315
-0.228,0.115,0.883,-7.507,-16.663,5.676
-0.194,0.084,0.942,-8.179,-13.977,-7.446
-0.19,-0.025,0.962,6.348,-18.311,-6.531
-0.186,-0.046,0.999,13.489,-15.32,9.888
-0.167,0.052,0.987,12.146,-8.911,17.395
-0.16,0.1,0.93,10.62,-10.193,13.733
-0.166,0.077,0.897,5.554,-16.113,12.939
-0.163,0.087,0.906,1.77,-21.301,13.55
-0.144,0.135,0.929,4.333,-24.17,9.888
-0.104,0.149,0.975,4.639,-26.733,1.343
-0.067,0.08,1.056,9.155,-26.062,-7.263
-0.045,-0.026,1.11,12.634,-18.066,-7.202
-0.027,-0.077,1.097,9.399,-9.521,-0.061
-0.016,-0.067,1.053,5.371,-9.033,7.935
-0.018,-0.023,1.04,0.549,-12.085,13.489
-0.022,0.041,1.077,-3.174,-14.465,13.855
-0.031,0.098,1.129,-4.028,-10.559,9.949
-0.046,0.108,1.135,-0.427,-1.404,3.662
-0.07,0.082,1.087,3.357,5.127,1.831
-0.098,0.077,1.03,3.174,6.47,4.578
-0.124,0.101,1,1.648,5.676,5.127
-0.145,0.104,0.978,2.38,6.409,2.625
-0.16,0.087,0.945,0.305,6.226,1.404
-0.171,0.083,0.925,-4.15,2.747,2.441
-0.179,0.092,0.933,-7.141,-0.366,3.479
-0.182,0.094,0.952,-6.226,-1.465,3.052
-0.185,0.083,0.959,-3.784,-1.465,2.502
-0.182,0.075,0.949,-1.77,-1.709,2.563
-0.169,0.071,0.945,0.183,-4.456,2.014
-0.154,0.07,0.969,1.892,-7.263,2.319
-0.137,0.08,0.998,0.427,-6.653,2.563
-0.121,0.078,1.014,1.526,-6.531,0.244
-0.107,0.053,1.025,4.272,-6.897,-0.916
-0.091,0.038,1.042,3.418,-7.202,0.671
-0.08,0.054,1.07,1.343,-6.897,3.052
-1.2,0.185,1.143,6.165,5.31,29.236
-1.215,0.198,1.129,4.272,9.399,27.649
-1.212,0.187,1.074,-0.61,8.484,24.841
-1.21,0.187,1.051,-0.061,1.465,24.17
-1.207,0.228,1.052,-2.075,0.916,24.048
-1.192,0.276,0.996,-1.648,1.587,19.958
-1.17,0.305,0.866,-16.663,-1.587,15.869
-1.131,0.295,0.777,-34.485,-18.188,10.193
-1.073,0.237,0.822,-39.551,-36.133,6.042
-1.002,0.192,0.874,-45.776,-36.499,5.432
-0.912,0.177,0.813,-50.537,-34.363,1.587
-0.802,0.172,0.724,-53.284,-41.992,-4.578
-0.677,0.159,0.724,-51.025,-52.429,-15.625
-0.539,0.122,0.768,-47.119,-53.772,-29.48
-0.383,0.072,0.757,-47.913,-47.302,-39.49
-0.226,0.062,0.692,-38.879,-42.603,-48.096
-0.079,0.106,0.576,-27.954,-33.386,-57.373
0.074,0.143,0.358,-10.315,-23.315,-69.519
0.269,0.099,0.049,4.089,-24.658,-80.139
0.556,-0.031,-0.236,18.982,-38.879,-89.355
0.879,-0.2,-0.418,31.189,-64.819,-88.074
1.161,-0.335,-0.479,24.048,-94.971,-72.205
1.457,-0.387,-0.464,31.311,-106.567,-41.26
1.84,-0.364,-0.516,37.964,-128.784,-10.864
2.274,-0.278,-0.404,-17.883,-185.608,13.794
2.55,-0.108,-0.05,-83.069,-214.722,41.565
2.633,0.333,0.227,-132.446,-216.553,70.496
2.783,0.964,0.599,-93.689,-239.014,27.039
3.089,1.247,1.455,6.409,-285.095,-90.637
3.393,0.932,2.78,52.795,-305.542,-182.373
3.443,0.367,3.76,10.803,-236.328,-187.561
3.082,-0.018,4,-39.063,-42.847,-119.568
2.529,-0.14,3.542,-86.975,190.857,-29.48
1.953,-0.163,2.079,-135.071,307.983,28.198
1.399,-0.328,0.399,-152.039,272.766,37.781
0.949,-0.782,-0.471,-113.464,153.259,20.63
0.582,-1.345,-0.559,-50.598,46.57,29.419
0.435,-1.538,-0.309,-16.235,6.592,80.627
0.562,-1.213,-0.146,10.376,6.287,129.456
0.802,-0.674,-0.173,53.528,-8.972,156.433
1.187,-0.098,-0.135,75.989,-37.598,169.434
1.646,0.394,0.298,80.139,-72.51,157.227
1.899,0.637,1.007,82.458,-65.735,132.812
1.886,0.717,1.413,80.322,13.367,112.854
1.74,0.776,1.184,93.262,96.619,87.952
1.544,0.778,0.684,106.14,120.85,55.908
1.307,0.692,0.423,102.478,107.91,30.457
1.093,0.574,0.379,88.379,97.595,18.616
0.937,0.478,0.348,53.101,84.717,22.949
0.82,0.41,0.396,13.794,64.148,40.466
0.729,0.356,0.567,-7.935,49.438,58.777
0.674,0.299,0.735,-12.146,49.377,68.054
0.644,0.213,0.807,-14.648,59.937,67.017
0.592,0.118,0.809,-14.832,67.627,61.523
0.51,0.119,0.82,-21.118,74.219,54.26
0.421,0.239,0.812,-5.005,82.886,37.476
0.321,0.351,0.743,16.296,89.6,10.742
0.201,0.382,0.655,19.165,90.027,-14.587
0.06,0.325,0.569,-3.784,81.726,-35.156
-0.112,0.15,0.558,-36.682,58.228,-52.734
-0.316,-0.094,0.679,-59.692,33.63,-59.57
-0.513,-0.316,0.833,-63.416,21.667,-61.096
-0.688,-0.482,0.92,-64.27,14.587,-62.439
-0.837,-0.56,0.984,-59.937,1.221,-62.805
-0.947,-0.527,1.076,-46.814,-14.221,-63.354
-1.026,-0.4,1.159,-33.264,-20.935,-66.162
-1.064,-0.239,1.207,-19.47,-24.597,-77.637
-1.055,-0.164,1.277,-11.414,-33.325,-96.008
-1.026,-0.306,1.407,-5.005,-44.983,-114.624
-0.993,-0.629,1.625,-7.324,-50.049,-120.117
-0.997,-0.988,1.871,-12.207,-34.058,-113.831
-1.06,-1.258,1.994,3.784,-0.488,-90.698
-1.174,-1.306,1.914,35.767,40.71,-50.842
-1.309,-1.055,1.61,66.528,79.041,-7.324
-1.419,-0.577,1.142,89.905,100.159,25.818
-1.515,-0.028,0.651,104.126,93.689,42.114
-1.507,0.516,0.304,104.858,65.125,45.349
-1.335,0.876,0.149,105.164,18.677,22.4
-1.062,0.904,0.282,89.294,-40.344,-9.033
-0.763,0.669,0.727,76.416,-75.623,-27.283
-0.491,0.424,1.167,65.857,-66.467,-23.621
-0.265,0.313,1.361,60.669,-38.574,-21.301
-0.129,0.23,1.359,56.763,-10.498,-21.179
-0.05,0.164,1.23,48.645,14.221,-18.799
0.01,0.096,1.032,47.485,18.372,-22.888
0.044,-0.01,0.913,46.387,7.874,-23.499
0.062,-0.083,0.932,41.321,-1.892,-18.555
0.078,-0.102,0.996,36.133,0.122,-12.39
0.097,-0.111,1.02,30.09,4.944,-5.615
0.104,-0.116,1.018,15.808,10.864,-1.892
0.079,-0.138,0.98,-3.235,19.592,0.061
0.034,-0.177,0.911,-7.385,18.677,9.033
-0.031,-0.139,0.878,-9.521,16.479,24.78
-0.087,0.006,0.855,-7.751,19.226,35.4
-0.107,0.18,0.802,-1.16,22.278,31.128
-0.114,0.305,0.758,2.136,16.113,15.137
-0.1,0.309,0.766,9.521,6.897,-6.775
-0.074,0.198,0.825,11.353,-1.709,-16.785
-0.043,0.105,0.886,5.005,-4.761,-12.024
-0.005,0.101,0.933,-5.92,-8.301,-2.869
0.019,0.147,0.988,-14.526,-10.132,4.15
0.035,0.219,1.039,-18.188,-8.545,9.216
0.048,0.286,1.068,-20.447,-5.859,7.019
0.049,0.283,1.08,-18.86,-2.136,0.549
0.045,0.211,1.068,-17.395,1.953,-4.211
0.042,0.121,1.055,-10.742,1.526,-4.272
0.032,0.07,1.062,-8.179,1.892,-0.061
0.021,0.06,1.058,-2.441,2.38,-0.977
0.011,0.028,1.045,0.549,5.188,-3.235
-0.004,-0.01,1.03,-0.671,8.972,-2.258
-0.019,-0.016,0.993,-1.282,9.216,-0.122
-0.027,-0.014,0.969,1.343,5.981,1.465
-0.026,-0.031,0.97,5.127,1.526,2.869
-0.027,-0.043,0.972,2.258,-1.282,7.996
-0.026,-0.008,0.975,-0.366,-3.601,14.038
-0.021,0.05,0.984,0.671,-5.859,15.503
-0.02,0.082,0.993,5.066,-5.981,12.817
-0.015,0.103,0.991,7.324,-6.775,12.817
-0.003,0.129,0.999,6.47,-6.47,9.399
0.01,0.126,1.018,9.766,-5.188,4.272
2.157,0.247,-0.578,16.541,-184.57,-43.701
2.545,0.005,-0.036,6.531,-206.238,-53.833
2.774,-0.209,0.423,4.517,-191.65,-43.457
2.877,-0.271,0.685,3.906,-174.438,-23.071
2.847,-0.224,0.896,5.005,-171.265,-6.226
2.75,-0.098,1.249,6.836,-182.739,2.625
2.664,0.149,1.817,10.071,-187.622,5.493
2.583,0.463,2.494,3.418,-164.246,-2.808
2.465,0.676,3.059,-14.648,-102.051,-13.733
2.311,0.63,3.251,-30.151,-7.263,-23.01
2.149,0.299,2.939,-37.781,87.646,-24.109
1.963,-0.114,2.284,-41.077,149.109,-4.761
1.767,-0.361,1.601,-39.734,178.101,27.771
1.59,-0.41,1.022,-26.306,188.599,54.443
1.457,-0.317,0.511,-4.578,181.335,70.862
1.354,-0.109,0.169,14.404,153.931,77.148
1.295,0.175,0.066,49.683,125.122,75.317
1.337,0.471,0.048,69.641,106.873,64.026
1.481,0.673,0.101,59.204,85.083,40.161
1.612,0.66,0.398,42.053,57.434,12.878
1.611,0.497,0.815,26.672,67.505,-1.709
1.483,0.38,0.937,8.24,116.394,3.906
1.297,0.375,0.647,-14.893,151.733,13.916
